DATE,NASDAQ.AAPL,NASDAQ.AMZN,NASDAQ.ASML,NASDAQ.AVGO,NASDAQ.COST,NASDAQ.GOOG,NASDAQ.GOOGL,NASDAQ.META,NASDAQ.MSFT,NASDAQ.NVDA,NASDAQ.TSLA
1733772360,246.23500061035156,228.7178955078125,714.1085205078125,176.60499572753906,986.6699829101562,176.97000122070312,175.30999755859375,610.739990234375,446.1400146484375,138.7050018310547,385.2471008300781
1733772420,246.27000427246094,228.7550048828125,714.0,176.6300048828125,987.0,177.08999633789062,175.3800048828125,611.0800170898438,446.4100036621094,138.6999053955078,385.5
1733772480,246.07000732421875,228.47999572753906,714.1500244140625,176.64500427246094,987.0,176.9949951171875,175.30999755859375,610.9324951171875,446.3699951171875,138.67999267578125,385.5199890136719
1733772540,246.09500122070312,228.30999755859375,714.4299926757812,176.6875,987.0150146484375,177.02000427246094,175.32000732421875,611.1500244140625,446.0950012207031,138.67999267578125,385.7398986816406
1733772600,246.1201934814453,228.14990234375,714.4299926757812,176.6649932861328,987.2999877929688,176.89999389648438,175.22000122070312,610.5999755859375,446.0799865722656,138.7100067138672,385.7785949707031
1733772660,246.00999450683594,228.05999755859375,713.52001953125,176.5500030517578,987.1900024414062,176.86000061035156,175.19000244140625,610.9067993164062,446.1098937988281,138.5449981689453,385.5
1733772720,246.07000732421875,228.12010192871094,713.2385864257812,176.60000610351562,987.0900268554688,176.89999389648438,175.22000122070312,610.6300048828125,445.9649963378906,138.47999572753906,386.31500244140625
1733772780,246.23500061035156,228.07290649414062,713.2000122070312,176.56199645996094,986.8900146484375,176.85000610351562,175.1999969482422,610.6799926757812,446.0199890136719,138.47500610351562,386.7049865722656
1733772840,246.13999938964844,228.17599487304688,713.2000122070312,176.42999267578125,986.4500732421875,176.7899932861328,175.13999938964844,610.7349853515625,445.9216003417969,138.4915008544922,386.3659973144531
1733772900,246.1199951171875,228.19000244140625,713.4450073242188,176.46499633789062,986.4500732421875,176.77499389648438,175.11500549316406,610.6768188476562,445.9200134277344,138.52810668945312,385.82989501953125
1733772960,246.19070434570312,228.2449951171875,713.2000122070312,176.3800048828125,987.0198974609375,176.75,175.0933074951172,610.4299926757812,446.0400085449219,138.4250030517578,385.5163879394531
1733773020,246.1999969482422,228.27000427246094,713.22998046875,176.52499389648438,986.7349853515625,176.66000366210938,175.00999450683594,610.5900268554688,445.8900146484375,138.39999389648438,386.1737976074219
1733773080,246.22000122070312,228.25999450683594,713.22998046875,176.5800018310547,986.7000122070312,176.64999389648438,175.0050048828125,610.114990234375,445.7950134277344,138.38999938964844,386.2149963378906
1733773140,246.32330322265625,228.24000549316406,713.22998046875,176.69000244140625,987.280029296875,176.63999938964844,174.98500061035156,610.4949951171875,445.80999755859375,138.44659423828125,386.2099914550781
1733773200,246.25,228.17999267578125,713.7064819335938,176.50999450683594,985.4650268554688,176.6300048828125,174.97999572753906,610.1699829101562,445.56878662109375,138.36000061035156,386.0552062988281
1733773260,246.02000427246094,228.07000732421875,713.7064819335938,176.42999267578125,985.1400146484375,176.60000610351562,174.96499633789062,609.5599975585938,445.3699951171875,138.27000427246094,385.92999267578125
1733773320,245.92140197753906,228.11000061035156,712.3699951171875,176.27999877929688,985.6400146484375,176.5800018310547,174.92999267578125,609.5098876953125,445.3599853515625,138.28500366210938,385.875
1733773380,246.10000610351562,228.25,712.3699951171875,176.44000244140625,985.4600219726562,176.67999267578125,175.02720642089844,609.4700927734375,445.5299987792969,138.4158935546875,386.1492919921875
1733773440,246.16000366210938,228.216796875,712.1287231445312,176.47000122070312,985.5574951171875,176.64999389648438,175.0,609.5499877929688,445.6499938964844,138.3903045654297,386.1400146484375
1733773500,246.1699981689453,228.10009765625,711.6699829101562,176.3300018310547,985.5574951171875,176.64999389648438,175.0,609.4500122070312,445.5299987792969,138.3090057373047,385.85308837890625
1733773560,246.2100067138672,228.14500427246094,710.9500122070312,176.33999633789062,985.5574951171875,176.68499755859375,175.0399932861328,609.5900268554688,445.510009765625,138.29010009765625,385.4200134277344
1733773620,246.16000366210938,227.94000244140625,710.5999755859375,176.25999450683594,985.5936889648438,176.60000610351562,174.94000244140625,609.6900024414062,445.364990234375,138.2100067138672,385.5470886230469
1733773680,246.11480712890625,227.9427947998047,710.7100219726562,176.07000732421875,985.29248046875,176.5500030517578,174.91000366210938,609.8499145507812,445.3280029296875,138.25,385.96990966796875
1733773740,246.16000366210938,227.9199981689453,710.5999755859375,176.07000732421875,985.8599853515625,176.58999633789062,174.9600067138672,609.5678100585938,445.6600036621094,138.25,385.7049865722656
1733773800,246.22999572753906,227.98989868164062,710.5999755859375,176.1649932861328,985.6500244140625,176.57000732421875,174.9208984375,609.22998046875,445.3299865722656,138.18080139160156,385.2300109863281
1733773860,246.14999389648438,228.03990173339844,710.0,176.2100067138672,985.22998046875,176.5399932861328,174.89500427246094,609.8300170898438,445.0950927734375,138.125,384.260009765625
1733773920,246.27200317382812,227.94509887695312,709.969970703125,176.50999450683594,986.0,176.61000061035156,174.97000122070312,609.9099731445312,445.3042907714844,138.15989685058594,383.760009765625
1733773980,246.2899932861328,227.73660278320312,709.969970703125,176.43499755859375,986.0,176.60000610351562,174.94639587402344,609.9099731445312,445.32000732421875,138.11599731445312,383.31500244140625
1733774040,246.35000610351562,227.9499969482422,709.969970703125,176.65989685058594,986.0,176.6999969482422,175.0500030517578,610.1699829101562,445.510009765625,138.21499633789062,384.0216064453125
1733774100,246.41000366210938,227.97500610351562,709.969970703125,176.72999572753906,986.0150146484375,176.7050018310547,175.07000732421875,610.3900146484375,445.6700134277344,138.25999450683594,384.1300048828125
1733774160,246.46499633789062,228.02000427246094,709.969970703125,176.82000732421875,986.3200073242188,176.72500610351562,175.0800018310547,611.0700073242188,445.8800048828125,138.40499877929688,384.42498779296875
1733774220,246.4600067138672,227.9499969482422,710.9959716796875,176.9499969482422,986.1036987304688,176.83999633789062,175.19329833984375,610.6400146484375,445.8399963378906,138.40499877929688,384.3900146484375
1733774280,246.41110229492188,227.99000549316406,711.2449951171875,177.02000427246094,986.02001953125,176.89500427246094,175.25,610.77001953125,445.9649963378906,138.4199981689453,384.6942138671875
1733774340,246.42660522460938,228.00999450683594,712.1300048828125,177.09500122070312,985.6110229492188,176.9199981689453,175.2635955810547,610.6400146484375,446.1099853515625,138.4481964111328,384.9599914550781
1733774400,246.3800048828125,227.99989318847656,712.1300048828125,177.04910278320312,986.469970703125,176.81570434570312,175.17990112304688,611.0399780273438,446.0585021972656,138.4199981689453,384.8230895996094
1733774460,246.2949981689453,227.69000244140625,711.281982421875,176.92999267578125,986.469970703125,176.72000122070312,175.05999755859375,610.6984252929688,445.82000732421875,138.39500427246094,384.43310546875
1733774520,246.31500244140625,227.77000427246094,711.281982421875,176.99000549316406,986.1900024414062,176.74000549316406,175.11000061035156,610.4249877929688,445.75,138.30239868164062,384.23199462890625
1733774580,246.37010192871094,227.89500427246094,711.281982421875,177.05470275878906,985.7000732421875,176.75,175.10980224609375,610.1799926757812,445.760009765625,138.26080322265625,384.3500061035156
1733774640,246.33999633789062,227.83999633789062,710.0900268554688,177.0500030517578,985.85498046875,176.74000549316406,175.07000732421875,610.2150268554688,445.6300048828125,138.29010009765625,384.8280029296875
1733774700,246.24000549316406,227.72999572753906,709.9600219726562,177.14500427246094,985.6201171875,176.64500427246094,174.99000549316406,609.89501953125,445.4100036621094,138.24000549316406,384.2699890136719
1733774760,246.2449951171875,227.69000244140625,709.4000244140625,177.0552978515625,985.9400024414062,176.74000549316406,175.0800018310547,610.0800170898438,445.5199890136719,138.25999450683594,383.7401123046875
1733774820,246.3300018310547,227.7449951171875,709.4000244140625,177.15989685058594,985.7899780273438,176.74349975585938,175.1199951171875,609.9349975585938,445.6600036621094,138.26919555664062,384.3680114746094
1733774880,246.38999938964844,227.75999450683594,709.489990234375,177.06500244140625,985.8150024414062,176.77999877929688,175.1199951171875,609.875,445.8450012207031,138.32000732421875,384.110107421875
1733774940,246.44500732421875,227.69500732421875,709.0599975585938,176.908203125,985.8150024414062,176.7899932861328,175.1699981689453,609.6453857421875,445.8800048828125,138.27029418945312,384.13140869140625
1733775000,246.39999389648438,227.6999969482422,708.8499755859375,176.83999633789062,986.2550048828125,176.79010009765625,175.16000366210938,610.08251953125,445.9100036621094,138.22000122070312,384.04998779296875
1733775060,246.39500427246094,227.70010375976562,708.5250244140625,176.80999755859375,986.1699829101562,176.77000427246094,175.1300048828125,610.16259765625,445.92999267578125,138.1649932861328,383.6099853515625
1733775120,246.3800048828125,227.69000244140625,709.22998046875,176.84869384765625,986.10498046875,176.75999450683594,175.125,610.4199829101562,446.13189697265625,138.25,383.7900085449219
1733775180,246.4149932861328,227.6999969482422,709.2830200195312,176.82000732421875,986.10498046875,176.7899932861328,175.15499877929688,610.77001953125,446.3299865722656,138.25,384.1098937988281
1733775240,246.42999267578125,227.72999572753906,708.9600219726562,177.02999877929688,986.0650024414062,176.77499389648438,175.13999938964844,610.8679809570312,446.2319030761719,138.22999572753906,383.8450012207031
1733775300,246.52499389648438,227.7899932861328,709.1799926757812,177.17999267578125,986.6900024414062,176.84930419921875,175.2198944091797,611.2042846679688,446.45001220703125,138.3699951171875,384.07000732421875
1733775360,246.41000366210938,227.6999969482422,709.1799926757812,177.00999450683594,986.35009765625,176.77000427246094,175.1300048828125,611.0150146484375,446.20001220703125,138.27000427246094,383.57000732421875
1733775420,246.3300018310547,227.63999938964844,709.02001953125,176.8699951171875,986.35009765625,176.72999572753906,175.10000610351562,610.864990234375,446.06500244140625,138.24989318847656,383.639892578125
1733775480,246.39999389648438,227.4300994873047,708.8499755859375,177.08999633789062,986.405029296875,176.6829071044922,175.0399932861328,610.4650268554688,445.9700012207031,138.3300018310547,383.5452880859375
1733775540,246.43499755859375,227.32000732421875,708.844970703125,177.04010009765625,986.5750122070312,176.69500732421875,175.06680297851562,610.4099731445312,445.9700012207031,138.39999389648438,384.2200012207031
1733775600,246.47999572753906,227.3000030517578,709.0800170898438,177.1199951171875,986.8563842773438,176.72000122070312,175.07000732421875,610.8800048828125,446.0,138.4949951171875,384.5885925292969
1733775660,246.49000549316406,227.2100067138672,709.64501953125,177.0749969482422,986.223388671875,176.77000427246094,175.13999938964844,610.905029296875,445.9150085449219,138.52499389648438,384.5658874511719
1733775720,246.50999450683594,227.0050048828125,709.4749755859375,177.0800018310547,986.3699951171875,176.72000122070312,175.0800018310547,610.614990234375,446.010009765625,138.56820678710938,384.110595703125
1733775780,246.4427947998047,226.97000122070312,709.4749755859375,177.10000610351562,986.4249877929688,176.70260620117188,175.07000732421875,610.3900146484375,445.8131103515625,138.49000549316406,383.8100891113281
1733775840,246.41000366210938,226.96499633789062,709.219970703125,177.24000549316406,986.219970703125,176.74000549316406,175.10000610351562,610.510009765625,445.7449951171875,138.61380004882812,383.331787109375
1733775900,246.44000244140625,226.77000427246094,709.219970703125,177.2100067138672,986.469970703125,176.69000244140625,175.05999755859375,610.3250122070312,445.67999267578125,138.55999755859375,383.2500915527344
1733775960,246.58999633789062,226.74000549316406,708.9400024414062,177.031005859375,986.4808959960938,176.69500732421875,175.0800018310547,610.2000122070312,445.80999755859375,138.4199981689453,382.6899108886719
1733776020,246.6699981689453,226.72000122070312,708.9400024414062,177.00999450683594,986.5374755859375,176.8300018310547,175.2100067138672,610.5,445.7076110839844,138.41000366210938,383.0715026855469
1733776080,246.67999267578125,226.7510986328125,707.4600219726562,176.89100646972656,986.3840942382812,176.91000366210938,175.27000427246094,610.2750244140625,445.8949890136719,138.27999877929688,382.7099914550781
1733776140,246.75999450683594,226.88999938964844,707.6649780273438,176.96499633789062,987.0499877929688,176.96499633789062,175.3300018310547,610.260009765625,446.0299987792969,138.28500366210938,382.9360046386719
1733776200,246.7899932861328,226.64999389648438,707.6849975585938,177.01409912109375,986.5700073242188,177.0800018310547,175.42999267578125,611.0,446.1099853515625,138.37010192871094,382.760009765625
1733776260,246.88999938964844,226.66000366210938,707.6799926757812,177.24000549316406,987.125,177.11000061035156,175.47000122070312,611.0650024414062,446.3500061035156,138.47999572753906,383.2950134277344
1733776320,246.89500427246094,226.6999969482422,707.9000244140625,177.22000122070312,986.7230834960938,177.1199951171875,175.47999572753906,611.17529296875,446.1499938964844,138.4550018310547,384.07000732421875
1733776380,246.9149932861328,226.40499877929688,707.739990234375,177.2801055908203,986.97998046875,177.10000610351562,175.4499969482422,611.0599975585938,446.20001220703125,138.46060180664062,383.8500061035156
1733776440,246.83999633789062,226.2617950439453,707.35498046875,177.2949981689453,986.75,177.05999755859375,175.41000366210938,611.1400146484375,445.8999938964844,138.33009338378906,383.5657958984375
1733776500,246.8300018310547,226.55999755859375,706.8577880859375,177.3300018310547,986.4500122070312,177.08009338378906,175.42999267578125,611.1400756835938,446.0,138.36929321289062,384.2200012207031
1733776560,246.93910217285156,226.72500610351562,707.1577758789062,177.49000549316406,986.4500122070312,176.97999572753906,175.32000732421875,611.4249877929688,445.9599914550781,138.3769989013672,384.2417907714844
1733776620,247.02999877929688,226.72000122070312,707.5700073242188,177.56179809570312,986.614990234375,177.0,175.33999633789062,611.780029296875,446.05999755859375,138.35989379882812,384.3190002441406
1733776680,247.02139282226562,226.6649932861328,707.4400024414062,177.6699981689453,986.7000122070312,176.92999267578125,175.25,611.510009765625,445.9740905761719,138.3300018310547,384.3599853515625
1733776740,246.93479919433594,226.50999450683594,707.4400024414062,177.5,986.6599731445312,176.88499450683594,175.22999572753906,611.405029296875,445.5400085449219,138.3699951171875,384.5400085449219
1733776800,246.9600067138672,226.53500366210938,707.0250244140625,177.61000061035156,986.8524780273438,176.83999633789062,175.21499633789062,611.6900024414062,445.4100036621094,138.4600067138672,385.1600036621094
1733776860,246.92999267578125,226.54010009765625,707.0549926757812,177.706298828125,986.5800170898438,176.8800048828125,175.22999572753906,611.7949829101562,445.56500244140625,138.4499969482422,385.8699035644531
1733776920,246.7899932861328,226.35000610351562,707.030029296875,177.6699981689453,986.3300170898438,176.9149932861328,175.27999877929688,611.4749755859375,445.57000732421875,138.5399932861328,385.75
1733776980,246.77000427246094,226.3498992919922,706.9650268554688,177.64999389648438,986.7999877929688,176.8699951171875,175.22999572753906,611.5574951171875,445.5950012207031,138.5301055908203,386.5347900390625
1733777040,246.57550048828125,226.19749450683594,706.9650268554688,177.64999389648438,986.2064819335938,176.83999633789062,175.2100067138672,611.60498046875,445.6365051269531,138.52000427246094,386.68951416015625
1733777100,246.61720275878906,225.97000122070312,706.1500244140625,177.69659423828125,986.219970703125,176.8800048828125,175.25,611.6998901367188,445.6199951171875,138.4250030517578,385.9043884277344
1733777160,246.6300048828125,226.08250427246094,706.4550170898438,177.69000244140625,986.5599975585938,176.88999938964844,175.2550048828125,612.1383056640625,445.7699890136719,138.4199981689453,385.9652099609375
1733777220,246.3813018798828,225.97000122070312,706.4000244140625,177.6199951171875,986.3599853515625,176.8699951171875,175.25,611.7999877929688,445.489990234375,138.4199981689453,385.9549865722656
1733777280,246.625,225.9980010986328,706.3099975585938,177.8000030517578,987.3499755859375,176.88999938964844,175.27999877929688,612.1799926757812,445.70001220703125,138.4949951171875,386.34259033203125
1733777340,246.7698974609375,226.05999755859375,706.5399780273438,177.77499389648438,986.4550170898438,176.99000549316406,175.3800048828125,612.260009765625,446.05999755859375,138.57000732421875,387.10931396484375
1733777400,246.80999755859375,226.22000122070312,706.7999877929688,178.00999450683594,987.3599853515625,177.0500030517578,175.44000244140625,612.780029296875,445.81500244140625,138.77999877929688,387.9700012207031
1733777460,246.74000549316406,225.82150268554688,706.7100219726562,178.05499267578125,987.25,177.1199951171875,175.5,612.5850219726562,445.9700012207031,138.8300018310547,388.1499938964844
1733777520,246.4600067138672,225.8000030517578,706.1199951171875,178.13999938964844,987.7050170898438,177.07850646972656,175.4550018310547,612.8599853515625,445.9599914550781,138.98599243164062,388.45989990234375
1733777580,246.58999633789062,225.7899932861328,706.4849853515625,178.33999633789062,987.6099853515625,177.0399932861328,175.44000244140625,613.1400146484375,446.1400146484375,139.11000061035156,388.34161376953125
1733777640,246.38999938964844,226.3699951171875,706.4199829101562,178.00999450683594,986.4400024414062,176.9199981689453,175.3000030517578,613.1099853515625,445.3999938964844,138.8699951171875,388.2300109863281
1733777700,246.4199981689453,225.94000244140625,706.2000122070312,178.52499389648438,987.2999877929688,176.83999633789062,175.14999389648438,613.1799926757812,444.95001220703125,138.69000244140625,389.3299865722656
1733777760,246.56500244140625,225.95989990234375,706.4299926757812,178.67999267578125,987.5800170898438,176.8800048828125,175.22500610351562,612.9600830078125,445.20001220703125,138.54010009765625,389.3699951171875
1733777820,246.6300048828125,226.0800018310547,706.2899780273438,178.82000732421875,987.6900024414062,176.97999572753906,175.3000030517578,613.4425048828125,445.19000244140625,138.66000366210938,389.1300048828125
1733777880,246.74000549316406,226.05499267578125,706.72998046875,178.8800048828125,987.8300170898438,176.9600067138672,175.27499389648438,613.6699829101562,445.45001220703125,138.68499755859375,389.1499938964844
1733777940,246.80999755859375,226.08999633789062,706.489990234375,178.97000122070312,987.8800048828125,177.0500030517578,175.36000061035156,613.8099975585938,445.8999938964844,138.80499267578125,389.8576965332031
1733841000,247.3699951171875,225.9499969482422,717.030029296875,175.88999938964844,985.9500122070312,184.0,182.1750030517578,614.2000732421875,445.4549865722656,139.79220581054688,392.260009765625
1733841060,246.27999877929688,225.77000427246094,715.8699951171875,174.9600067138672,988.3350219726562,184.67999267578125,182.9199981689453,614.0599975585938,447.0199890136719,139.7698974609375,393.17999267578125
1733841120,245.89309692382812,226.6999969482422,717.0800170898438,175.13999938964844,988.4299926757812,185.44520568847656,183.72000122070312,618.02001953125,447.5950012207031,139.6199951171875,395.3940124511719
1733841180,246.22500610351562,226.80999755859375,716.8599853515625,174.96470642089844,986.8699951171875,185.6199951171875,183.85000610351562,618.0,447.0693054199219,139.4803924560547,396.8699951171875
1733841240,246.61000061035156,226.83999633789062,716.7445068359375,175.0850067138672,988.5349731445312,186.33999633789062,184.60000610351562,618.9749755859375,447.1700134277344,139.3000030517578,397.82000732421875
1733841300,246.52000427246094,226.29249572753906,716.22998046875,175.72999572753906,988.3126220703125,186.2899932861328,184.61500549316406,620.0,446.8999938964844,139.41000366210938,397.489990234375
1733841360,246.94000244140625,226.5,716.6699829101562,175.85000610351562,988.489990234375,186.22999572753906,184.4600067138672,621.22998046875,447.1499938964844,139.5,397.56060791015625
1733841420,247.0,226.03599548339844,716.260009765625,176.19000244140625,987.0,186.1085968017578,184.42999267578125,620.1331787109375,446.52801513671875,139.59950256347656,397.914306640625
1733841480,246.60000610351562,225.94500732421875,716.469970703125,176.7100067138672,988.47998046875,185.47999572753906,183.80999755859375,620.6400146484375,446.8699951171875,140.0,397.6300048828125
1733841540,246.50999450683594,226.16000366210938,717.72998046875,176.3800048828125,989.530029296875,185.56500244140625,183.92999267578125,620.85009765625,446.94000244140625,140.38999938964844,398.44989013671875
1733841600,246.25999450683594,226.39999389648438,717.469970703125,175.87010192871094,990.2755737304688,185.82000732421875,184.1649932861328,620.1199951171875,447.1099853515625,140.77969360351562,399.32501220703125
1733841660,246.14999389648438,226.52999877929688,717.52001953125,175.8300018310547,990.0,186.1300048828125,184.4949951171875,621.5700073242188,446.9049987792969,141.19000244140625,399.76959228515625
1733841720,246.52999877929688,226.78990173339844,716.8800048828125,175.89999389648438,992.0,185.8000030517578,184.1300048828125,623.0900268554688,447.40130615234375,141.39500427246094,399.489990234375
1733841780,246.9199981689453,227.16000366210938,717.260009765625,176.3000030517578,992.7449951171875,186.3800048828125,184.72999572753906,623.4199829101562,447.3699951171875,141.25,399.7699890136719
1733841840,246.9864959716797,227.52999877929688,717.125,176.2100067138672,992.6599731445312,186.77999877929688,185.13999938964844,622.7999877929688,447.760009765625,141.60360717773438,401.42169189453125
1733841900,247.3000030517578,227.9600067138672,717.0,176.2100067138672,993.0,186.97500610351562,185.31280517578125,623.364990234375,447.8699951171875,141.64999389648438,400.8794860839844
1733841960,247.24000549316406,227.25,717.5900268554688,176.3800048828125,992.0800170898438,187.52999877929688,185.875,621.60498046875,448.05999755859375,141.55999755859375,400.19000244140625
1733842020,247.46400451660156,226.8126983642578,716.6199951171875,176.33399963378906,993.7753295898438,187.58999633789062,185.92999267578125,621.1699829101562,447.6400146484375,141.22999572753906,400.6885986328125
1733842080,247.77999877929688,227.40989685058594,716.4600219726562,176.39999389648438,992.6400146484375,187.94000244140625,186.24000549316406,621.405029296875,448.0400085449219,141.27999877929688,401.8900146484375
1733842140,247.47500610351562,227.5500030517578,714.8400268554688,176.22999572753906,992.3300170898438,187.4600067138672,185.7899932861328,621.719970703125,448.1510009765625,141.07850646972656,402.8999938964844
1733842200,247.1999969482422,227.24000549316406,714.72998046875,175.97000122070312,991.31298828125,186.97999572753906,185.32000732421875,621.0750122070312,447.5450134277344,140.8802947998047,401.80999755859375
1733842260,246.94500732421875,227.0800018310547,714.1199951171875,175.7100067138672,991.260009765625,186.9600067138672,185.3300018310547,620.721923828125,447.8999938964844,141.0135040283203,400.8699951171875
1733842320,247.1800994873047,227.17250061035156,714.022705078125,175.58999633789062,991.239990234375,186.7449951171875,185.1300048828125,620.4099731445312,448.0299987792969,141.0500946044922,401.94000244140625
1733842380,247.35000610351562,227.44000244140625,713.9000244140625,175.26800537109375,991.8900146484375,185.7899932861328,184.1750030517578,620.22998046875,447.4800109863281,141.04949951171875,401.7200012207031
1733842440,247.35020446777344,226.94000244140625,713.5999755859375,174.9250030517578,992.2286987304688,185.74000549316406,184.14889526367188,620.4099731445312,446.8399963378906,140.9600067138672,401.15008544921875
1733842500,247.32000732421875,226.72999572753906,713.4481811523438,175.033203125,991.9450073242188,185.74000549316406,184.1627960205078,620.405029296875,446.42999267578125,140.77999877929688,400.7591857910156
1733842560,247.106201171875,226.65989685058594,713.1099853515625,175.07000732421875,992.2374877929688,185.6197967529297,184.0500030517578,620.4425048828125,446.3200988769531,140.73789978027344,400.7300109863281
1733842620,247.2617950439453,226.61500549316406,712.4500732421875,174.82000732421875,991.1480102539062,185.1199951171875,183.50999450683594,619.7700805664062,446.364990234375,140.6549072265625,399.57000732421875
1733842680,247.44000244140625,226.76080322265625,712.4199829101562,174.53900146484375,991.281982421875,184.97999572753906,183.36000061035156,620.4600219726562,446.9800109863281,140.52999877929688,399.1000061035156
1733842740,247.65499877929688,227.5,712.6599731445312,175.19000244140625,991.530029296875,185.77000427246094,184.18099975585938,622.739990234375,448.1099853515625,140.92999267578125,400.3800964355469
1733842800,247.36000061035156,227.5,712.364990234375,175.41000366210938,990.5999755859375,185.50999450683594,183.9149932861328,622.5999755859375,448.07000732421875,140.65530395507812,402.3999938964844
1733842860,247.4969940185547,227.58999633789062,712.3499755859375,175.82009887695312,990.7000122070312,185.47000122070312,183.8800048828125,623.5822143554688,448.5628967285156,140.9600067138672,402.0199890136719
1733842920,247.3000030517578,227.88999938964844,711.6599731445312,176.07000732421875,990.7000122070312,185.3000030517578,183.62010192871094,624.1500244140625,448.5799865722656,141.10000610351562,402.4700012207031
1733842980,247.09500122070312,227.89999389648438,711.0599975585938,175.73989868164062,990.7000122070312,185.33999633789062,183.68499755859375,623.7785034179688,448.42498779296875,141.14999389648438,402.3399963378906
1733843040,247.1649932861328,228.5500030517578,710.39501953125,175.4250030517578,990.5,185.8679962158203,184.21499633789062,624.236328125,448.8699951171875,140.9600067138672,404.32000732421875
1733843100,247.16000366210938,228.49000549316406,710.39501953125,175.1699981689453,990.469970703125,185.72109985351562,184.0399932861328,623.701171875,449.1499938964844,140.86000061035156,403.59588623046875
1733843160,247.2050018310547,228.60000610351562,709.6500244140625,175.33999633789062,990.9299926757812,186.00799560546875,184.33999633789062,623.655029296875,449.0350036621094,140.89999389648438,404.3599853515625
1733843220,247.17999267578125,228.72999572753906,710.0,175.6300048828125,990.75,186.11000061035156,184.44189453125,624.4180297851562,448.74749755859375,140.98260498046875,404.8794860839844
1733843280,247.25999450683594,228.65049743652344,710.0,175.72000122070312,990.4600219726562,186.2375030517578,184.60000610351562,624.53271484375,448.77978515625,141.08999633789062,406.30120849609375
1733843340,247.2100067138672,228.69000244140625,709.5,175.46499633789062,990.0,186.00999450683594,184.38499450683594,624.9400024414062,448.4150085449219,141.24000549316406,407.53759765625
1733843400,247.24000549316406,228.52000427246094,709.7000122070312,175.72999572753906,990.7999877929688,186.21499633789062,184.61500549316406,624.8400268554688,448.3940124511719,141.19000244140625,405.86260986328125
1733843460,246.92999267578125,228.57000732421875,709.5050048828125,175.8563995361328,990.9849853515625,186.22500610351562,184.6300048828125,624.2750244140625,448.3800048828125,140.91400146484375,406.489990234375
